intent,target_id,target_tag,before_class,after_class,resolved_id,confidence
"i need help with supporting students with low academic curiosity",CONCERN_EXA_2235,MOTIVATION_VALUES,drift,exact,CONCERN_EXA_2235,32
"i cannot manage supporting students with weak long-answer structuring skills",CONCERN_EXA_2238,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_EXA_2238,39
"i need help with managing students with weak academic resilience",CONCERN_EXA_2248,EXAMINATION_STRESS,drift,failure,,0
"i need help with supporting students with weak learning adaptability across subjects",CONCERN_EXA_2256,LEARNING_ADAPTABILITY,drift,failure,,0
"i cannot manage handling students with weak academic ownership during projects",CONCERN_EXA_2258,COLLABORATION_OWNERSHIP,drift,failure,,0
"i cannot manage managing students with weak conceptual recall during viva",CONCERN_EXA_2278,EXAMINATION_READINESS,drift,exact,CONCERN_EXA_2278,31
"i keep struggling with supporting students with weak applied reasoning skills",CONCERN_EXA_2283,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_EXA_2283,33
"i cannot manage supporting students with weak applied reasoning skills",CONCERN_EXA_2283,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_EXA_2283,33
"i need help with supporting students with weak applied reasoning skills",CONCERN_EXA_2283,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_EXA_2283,33
"i keep struggling with supporting students with weak interpretation of case-based questions",CONCERN_EXA_2286,EXAMINATION_READINESS,drift,exact,CONCERN_EXA_2286,32
"i cannot manage supporting students with weak interpretation of case-based questions",CONCERN_EXA_2286,EXAMINATION_READINESS,drift,exact,CONCERN_EXA_2286,32
"i need help with supporting students with weak interpretation of case-based questions",CONCERN_EXA_2286,EXAMINATION_READINESS,drift,failure,,0
"i keep struggling with slow emotional recovery after poor scores",CONCERN_EXA_2359,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_2359,34
"i keep struggling with students losing confidence after comparison",CONCERN_EXA_2362,CONFIDENCE_SELF,drift,exact,CONCERN_EXA_2362,33
"i cannot manage students losing confidence after comparison",CONCERN_EXA_2362,CONFIDENCE_SELF,drift,exact,CONCERN_EXA_2362,33
"i need help with students losing confidence after comparison",CONCERN_EXA_2362,CONFIDENCE_SELF,drift,exact,CONCERN_EXA_2362,33
"i keep struggling with supporting students with weak academic initiative",CONCERN_EXA_2463,MOTIVATION_VALUES,drift,failure,,0
"i need help with supporting students with weak academic initiative",CONCERN_EXA_2463,MOTIVATION_VALUES,drift,failure,,0
"i cannot manage academic stress productively",CONCERN_EXA_2487,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_2487,34
"i need help with academic stress productively",CONCERN_EXA_2487,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_2487,34
"i cannot manage academic recovery after poor scores",CONCERN_EXA_2488,EXAMINATION_STRESS,drift,near,CONCERN_EXA_2000,32
"i need help with academic recovery after poor scores",CONCERN_EXA_2488,EXAMINATION_STRESS,drift,near,CONCERN_EXA_2000,32
"i struggle with cross-cultural communication",CONCERN_EXA_90,COMMUNICATION_EXPRESSION,drift,near,CONCERN_SOC_2334,29
"i have trouble with cross-cultural communication",CONCERN_EXA_90,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_EXA_90,40
"weak decision-making confidence",CONCERN_EXP_1513,PERSONAL_DECISION,drift,exact,CONCERN_EXP_1513,35
"i have trouble with decision-making confidence",CONCERN_EXP_1513,PERSONAL_DECISION,drift,exact,CONCERN_EXP_1513,34
"i keep struggling with visibility into student attention fatigue institutionally",CONCERN_FAC_1210,ACADEMIC_COGNITIVE,drift,exact,CONCERN_FAC_1210,34
"i need help with visibility into student attention fatigue institutionally",CONCERN_FAC_1210,ACADEMIC_COGNITIVE,drift,exact,CONCERN_FAC_1210,34
"i need help with visibility into student stress distribution across grades",CONCERN_FAC_1218,EMOTIONAL_REGULATION,drift,failure,,0
"i keep struggling with visibility into student adaptability during curriculum changes",CONCERN_FAC_1250,ADAPTIVE_LEARNING,drift,exact,CONCERN_FAC_1250,34
"i need help with visibility into student adaptability during curriculum changes",CONCERN_FAC_1250,ADAPTIVE_LEARNING,drift,failure,,0
"i need help with visibility into student learning pace differences",CONCERN_FAC_1286,ADAPTIVE_DIAGNOSTICS,drift,failure,,0
"weak independent learning ability",CONCERN_FOU_1675,SELF_LEARNING,drift,exact,CONCERN_FOU_1675,39
"i struggle with independent learning ability",CONCERN_FOU_1675,SELF_LEARNING,drift,failure,,0
"i have trouble with independent learning ability",CONCERN_FOU_1675,SELF_LEARNING,drift,exact,CONCERN_FOU_1675,37
"i keep struggling with independent learning ability",CONCERN_FOU_1675,SELF_LEARNING,drift,exact,CONCERN_FOU_1675,31
"difficulty identifying student learning gaps",CONCERN_FOU_2115,CLASSROOM_ENGAGEMENT,drift,exact,CONCERN_FOU_2115,39
"i have trouble with identifying student learning gaps",CONCERN_FOU_2115,CLASSROOM_ENGAGEMENT,drift,exact,CONCERN_FOU_2115,37
"i keep struggling with identifying student learning gaps",CONCERN_FOU_2115,CLASSROOM_ENGAGEMENT,drift,exact,CONCERN_FOU_2115,32
"i cannot manage identifying student learning gaps",CONCERN_FOU_2115,CLASSROOM_ENGAGEMENT,drift,exact,CONCERN_FOU_2115,32
"i need help with identifying student learning gaps",CONCERN_FOU_2115,CLASSROOM_ENGAGEMENT,drift,exact,CONCERN_FOU_2115,32
"i struggle with supporting students with weak academic recovery skills",CONCERN_FOU_2167,EXAMINATION_STRESS,drift,failure,,0
"i have trouble with supporting students with weak academic recovery skills",CONCERN_FOU_2167,EXAMINATION_STRESS,drift,exact,CONCERN_FOU_2167,37
"i keep struggling with supporting students with weak academic recovery skills",CONCERN_FOU_2167,EXAMINATION_STRESS,drift,failure,,0
"i need help with supporting students with weak academic recovery skills",CONCERN_FOU_2167,EXAMINATION_STRESS,drift,failure,,0
"i need help with encouraging students to think independently",CONCERN_FOU_2179,THINKING_QUALITY,drift,exact,CONCERN_FOU_2179,38
"i cannot manage managing students with weak verbal confidence in presentations",CONCERN_FOU_2260,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_FOU_2260,34
"difficulty handling criticism and feedback",CONCERN_FUT_1424,GROWTH_MINDSET,drift,exact,CONCERN_FUT_1424,34
"i struggle with criticism and feedback",CONCERN_FUT_1424,GROWTH_MINDSET,drift,exact,CONCERN_FUT_1424,38
"i have trouble with criticism and feedback",CONCERN_FUT_1424,GROWTH_MINDSET,drift,exact,CONCERN_FUT_1424,38
"difficulty managing emotional pressure during organizational restructuring",CONCERN_HOL_1081,WORKPLACE_ADAPTATION,drift,exact,CONCERN_HOL_1081,34
"i struggle with emotional pressure during organizational restructuring",CONCERN_HOL_1081,WORKPLACE_ADAPTATION,drift,exact,CONCERN_HOL_1081,39
"i have trouble with emotional pressure during organizational restructuring",CONCERN_HOL_1081,WORKPLACE_ADAPTATION,drift,exact,CONCERN_HOL_1081,39
"i keep struggling with emotional pressure during organizational restructuring",CONCERN_HOL_1081,WORKPLACE_ADAPTATION,drift,exact,CONCERN_HOL_1081,31
"weak visibility into student attendance pattern risks",CONCERN_HOL_1292,BEHAVIORAL_STABILITY,drift,exact,CONCERN_HOL_1292,42
"i struggle with visibility into student attendance pattern risks",CONCERN_HOL_1292,BEHAVIORAL_STABILITY,drift,exact,CONCERN_HOL_1292,41
"i have trouble with visibility into student attendance pattern risks",CONCERN_HOL_1292,BEHAVIORAL_STABILITY,drift,exact,CONCERN_HOL_1292,41
"i keep struggling with visibility into student attendance pattern risks",CONCERN_HOL_1292,BEHAVIORAL_STABILITY,drift,exact,CONCERN_HOL_1292,35
"i cannot manage visibility into student attendance pattern risks",CONCERN_HOL_1292,BEHAVIORAL_STABILITY,drift,exact,CONCERN_HOL_1292,35
"i need help with visibility into student attendance pattern risks",CONCERN_HOL_1292,BEHAVIORAL_STABILITY,drift,exact,CONCERN_HOL_1292,35
"i have trouble with learning persistence",CONCERN_HOL_2479,MOTIVATION_VALUES,drift,near,CONCERN_ADJ_1991,35
"difficulty adjusting from campus culture to corporate culture",CONCERN_HOL_661,WORKPLACE_ADAPTATION,drift,exact,CONCERN_HOL_661,42
"i struggle with adjusting from campus culture to corporate culture",CONCERN_HOL_661,WORKPLACE_ADAPTATION,drift,exact,CONCERN_HOL_661,42
"i have trouble with adjusting from campus culture to corporate culture",CONCERN_HOL_661,WORKPLACE_ADAPTATION,drift,exact,CONCERN_HOL_661,42
"i keep struggling with adjusting from campus culture to corporate culture",CONCERN_HOL_661,WORKPLACE_ADAPTATION,drift,exact,CONCERN_HOL_661,37
"i cannot manage adjusting from campus culture to corporate culture",CONCERN_HOL_661,WORKPLACE_ADAPTATION,drift,exact,CONCERN_HOL_661,37
"i need help with adjusting from campus culture to corporate culture",CONCERN_HOL_661,WORKPLACE_ADAPTATION,drift,exact,CONCERN_HOL_661,37
"difficulty managing emotional fatigue from continuous upskilling",CONCERN_HOL_981,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_HOL_981,36
"i struggle with emotional fatigue from continuous upskilling",CONCERN_HOL_981,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_HOL_981,39
"i have trouble with emotional fatigue from continuous upskilling",CONCERN_HOL_981,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_HOL_981,39
"i keep struggling with emotional fatigue from continuous upskilling",CONCERN_HOL_981,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_HOL_981,34
"i cannot manage emotional fatigue from continuous upskilling",CONCERN_HOL_981,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_HOL_981,34
"i need help with emotional fatigue from continuous upskilling",CONCERN_HOL_981,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_HOL_981,34
"i struggle with clarity about long-term goals",CONCERN_IDE_1504,ASPIRATIONAL_DEVELOPMENT,drift,exact,CONCERN_IDE_1504,38
"i have trouble with clarity about long-term goals",CONCERN_IDE_1504,ASPIRATIONAL_DEVELOPMENT,drift,exact,CONCERN_IDE_1504,38
"i keep struggling with clarity about long-term goals",CONCERN_IDE_1504,ASPIRATIONAL_DEVELOPMENT,drift,exact,CONCERN_IDE_1504,33
"i cannot manage clarity about long-term goals",CONCERN_IDE_1504,ASPIRATIONAL_DEVELOPMENT,drift,exact,CONCERN_IDE_1504,33
"i need help with clarity about long-term goals",CONCERN_IDE_1504,ASPIRATIONAL_DEVELOPMENT,drift,exact,CONCERN_IDE_1504,33
"i struggle with awareness about personal strengths",CONCERN_IDE_1527,SELF_EXPLORATION,drift,exact,CONCERN_IDE_1527,39
"i have trouble with awareness about personal strengths",CONCERN_IDE_1527,SELF_EXPLORATION,drift,exact,CONCERN_IDE_1527,39
"i keep struggling with awareness about personal strengths",CONCERN_IDE_1527,SELF_EXPLORATION,drift,exact,CONCERN_IDE_1527,33
"i cannot manage awareness about personal strengths",CONCERN_IDE_1527,SELF_EXPLORATION,drift,exact,CONCERN_IDE_1527,33
"i need help with awareness about personal strengths",CONCERN_IDE_1527,SELF_EXPLORATION,drift,exact,CONCERN_IDE_1527,33
"i struggle with identifying personal blind spots",CONCERN_IDE_1542,REFLECTIVE_DEVELOPMENT,drift,exact,CONCERN_IDE_1542,43
"i have trouble with identifying personal blind spots",CONCERN_IDE_1542,REFLECTIVE_DEVELOPMENT,drift,exact,CONCERN_IDE_1542,43
"i keep struggling with identifying personal blind spots",CONCERN_IDE_1542,REFLECTIVE_DEVELOPMENT,drift,exact,CONCERN_IDE_1542,39
"i cannot manage identifying personal blind spots",CONCERN_IDE_1542,REFLECTIVE_DEVELOPMENT,drift,exact,CONCERN_IDE_1542,39
"i need help with identifying personal blind spots",CONCERN_IDE_1542,REFLECTIVE_DEVELOPMENT,drift,exact,CONCERN_IDE_1542,39
"i need help with visibility into institutional emotional recovery after failure",CONCERN_INQ_1254,EMOTIONAL_RECOVERY,drift,failure,,0
"i keep struggling with visibility into learning retention across subjects",CONCERN_INQ_1270,ACADEMIC_COGNITIVE,drift,exact,CONCERN_INQ_1270,37
"i struggle with leadership and team collaboration",CONCERN_INT_1429,LEADERSHIP_READINESS,drift,exact,CONCERN_INT_1429,39
"i have trouble with leadership and team collaboration",CONCERN_INT_1429,LEADERSHIP_READINESS,drift,exact,CONCERN_INT_1429,39
"i need help with leadership and team collaboration",CONCERN_INT_1429,LEADERSHIP_READINESS,drift,exact,CONCERN_INT_1429,33
"i struggle with understanding of personal learning style",CONCERN_INT_1642,LEARNING_REFLECTION,drift,exact,CONCERN_INT_1642,41
"i have trouble with understanding of personal learning style",CONCERN_INT_1642,LEARNING_REFLECTION,drift,exact,CONCERN_INT_1642,41
"i keep struggling with understanding of personal learning style",CONCERN_INT_1642,LEARNING_REFLECTION,drift,exact,CONCERN_INT_1642,36
"i cannot manage understanding of personal learning style",CONCERN_INT_1642,LEARNING_REFLECTION,drift,exact,CONCERN_INT_1642,36
"i need help with understanding of personal learning style",CONCERN_INT_1642,LEARNING_REFLECTION,drift,exact,CONCERN_INT_1642,36
"i struggle with strategic preparation for exams",CONCERN_INT_2097,EXAMINATION_READINESS,drift,failure,,0
"i have trouble with strategic preparation for exams",CONCERN_INT_2097,EXAMINATION_READINESS,drift,exact,CONCERN_INT_2097,38
"i keep struggling with emotionally reactive students",CONCERN_INT_2158,EXAMINATION_STRESS,drift,exact,CONCERN_INT_2158,30
"i cannot manage emotionally reactive students",CONCERN_INT_2158,EXAMINATION_STRESS,drift,exact,CONCERN_INT_2158,30
"lack of academic goal clarity",CONCERN_LAN_1361,CAREER_ACADEMIC,drift,exact,CONCERN_LAN_1361,42
"i struggle with academic goal clarity",CONCERN_LAN_1361,CAREER_ACADEMIC,drift,exact,CONCERN_LAN_1361,39
"i have trouble with academic goal clarity",CONCERN_LAN_1361,CAREER_ACADEMIC,drift,exact,CONCERN_LAN_1361,39
"i keep struggling with academic goal clarity",CONCERN_LAN_1361,CAREER_ACADEMIC,drift,exact,CONCERN_LAN_1361,33
"i cannot manage academic goal clarity",CONCERN_LAN_1361,CAREER_ACADEMIC,drift,exact,CONCERN_LAN_1361,33
"i need help with academic goal clarity",CONCERN_LAN_1361,CAREER_ACADEMIC,drift,exact,CONCERN_LAN_1361,33
"i keep struggling with professional networking environments",CONCERN_LEA_1096,SOCIAL_EMOTIONAL,drift,exact,CONCERN_LEA_1096,34
"i struggle with teacher adaptability to new pedagogies",CONCERN_LEA_1209,FACULTY_DEVELOPMENT,drift,exact,CONCERN_LEA_1209,34
"i have trouble with teacher adaptability to new pedagogies",CONCERN_LEA_1209,FACULTY_DEVELOPMENT,drift,exact,CONCERN_LEA_1209,34
"i struggle with institutional innovation readiness",CONCERN_LEA_1229,INQUIRY_CURIOSITY,drift,exact,CONCERN_LEA_1229,38
"i have trouble with institutional innovation readiness",CONCERN_LEA_1229,INQUIRY_CURIOSITY,drift,exact,CONCERN_LEA_1229,38
"i cannot manage institutional innovation readiness",CONCERN_LEA_1229,INQUIRY_CURIOSITY,drift,exact,CONCERN_LEA_1229,33
"i need help with institutional innovation readiness",CONCERN_LEA_1229,INQUIRY_CURIOSITY,drift,exact,CONCERN_LEA_1229,33
"i cannot manage visibility into student professional discipline and reliability",CONCERN_LEA_1330,DISCIPLINE_HABITS,drift,near,CONCERN_LEA_1246,30
"i need help with visibility into student professional discipline and reliability",CONCERN_LEA_1330,DISCIPLINE_HABITS,drift,failure,,0
"inconsistent performance across subjects",CONCERN_LEA_1358,PERFORMANCE_ANALYSIS,drift,exact,CONCERN_LEA_1358,50
"i struggle with inconsistent performance across subjects",CONCERN_LEA_1358,PERFORMANCE_ANALYSIS,drift,exact,CONCERN_LEA_1358,42
"i have trouble with inconsistent performance across subjects",CONCERN_LEA_1358,PERFORMANCE_ANALYSIS,drift,exact,CONCERN_LEA_1358,42
"i keep struggling with inconsistent performance across subjects",CONCERN_LEA_1358,PERFORMANCE_ANALYSIS,drift,exact,CONCERN_LEA_1358,37
"i cannot manage inconsistent performance across subjects",CONCERN_LEA_1358,PERFORMANCE_ANALYSIS,drift,exact,CONCERN_LEA_1358,37
"i need help with inconsistent performance across subjects",CONCERN_LEA_1358,PERFORMANCE_ANALYSIS,drift,exact,CONCERN_LEA_1358,37
"difficulty adapting to higher grades",CONCERN_LEA_1365,ACADEMIC_TRANSITION,drift,exact,CONCERN_LEA_1365,41
"i struggle with adapting to higher grades",CONCERN_LEA_1365,ACADEMIC_TRANSITION,drift,exact,CONCERN_LEA_1365,43
"i have trouble with adapting to higher grades",CONCERN_LEA_1365,ACADEMIC_TRANSITION,drift,exact,CONCERN_LEA_1365,41
"i keep struggling with adapting to higher grades",CONCERN_LEA_1365,ACADEMIC_TRANSITION,drift,exact,CONCERN_LEA_1365,35
"i cannot manage adapting to higher grades",CONCERN_LEA_1365,ACADEMIC_TRANSITION,drift,exact,CONCERN_LEA_1365,36
"i need help with adapting to higher grades",CONCERN_LEA_1365,ACADEMIC_TRANSITION,drift,exact,CONCERN_LEA_1365,36
"i need help with academic stamina during long exams",CONCERN_LEA_1371,EXAM_READINESS,drift,exact,CONCERN_LEA_1371,39
"poor adaptability to changing expectations",CONCERN_LEA_1419,ADAPTABILITY_COACHING,drift,exact,CONCERN_LEA_1419,43
"i have trouble with adaptability to changing expectations",CONCERN_LEA_1419,ADAPTABILITY_COACHING,drift,exact,CONCERN_LEA_1419,40
"i keep struggling with adaptability to changing expectations",CONCERN_LEA_1419,ADAPTABILITY_COACHING,drift,exact,CONCERN_LEA_1419,34
"i cannot manage adaptability to changing expectations",CONCERN_LEA_1419,ADAPTABILITY_COACHING,drift,exact,CONCERN_LEA_1419,34
"i need help with adaptability to changing expectations",CONCERN_LEA_1419,ADAPTABILITY_COACHING,drift,exact,CONCERN_LEA_1419,34
"i struggle with stress management under pressure",CONCERN_LEA_1430,PERFORMANCE_RESILIENCE,drift,exact,CONCERN_LEA_1430,38
"i have trouble with stress management under pressure",CONCERN_LEA_1430,PERFORMANCE_RESILIENCE,drift,exact,CONCERN_LEA_1430,38
"i keep struggling with stress management under pressure",CONCERN_LEA_1430,PERFORMANCE_RESILIENCE,drift,exact,CONCERN_LEA_1430,33
"i cannot manage stress management under pressure",CONCERN_LEA_1430,PERFORMANCE_RESILIENCE,drift,exact,CONCERN_LEA_1430,40
"i need help with stress management under pressure",CONCERN_LEA_1430,PERFORMANCE_RESILIENCE,drift,exact,CONCERN_LEA_1430,33
"lack of study discipline",CONCERN_LEA_1438,ACADEMIC_BEHAVIOR,drift,exact,CONCERN_LEA_1438,37
"i need help with frequent comparison with peers",CONCERN_LEA_1445,STUDENT_PSYCHOLOGY,drift,exact,CONCERN_LEA_1445,33
"i cannot manage influencing or motivating peers",CONCERN_LEA_1473,TEAM_LEADERSHIP,drift,exact,CONCERN_LEA_1473,40
"i keep struggling with adapting leadership style across situations",CONCERN_LEA_1478,ADAPTIVE_LEADERSHIP,drift,exact,CONCERN_LEA_1478,37
"i need help with adapting leadership style across situations",CONCERN_LEA_1478,ADAPTIVE_LEADERSHIP,drift,exact,CONCERN_LEA_1478,37
"i struggle with awareness about personal strengths",CONCERN_LEA_1497,SELF_DISCOVERY,drift,near,CONCERN_IDE_1527,39
"i have trouble with awareness about personal strengths",CONCERN_LEA_1497,SELF_DISCOVERY,drift,near,CONCERN_IDE_1527,39
"i keep struggling with awareness about personal strengths",CONCERN_LEA_1497,SELF_DISCOVERY,drift,near,CONCERN_IDE_1527,33
"i cannot manage awareness about personal strengths",CONCERN_LEA_1497,SELF_DISCOVERY,drift,near,CONCERN_IDE_1527,33
"i need help with awareness about personal strengths",CONCERN_LEA_1497,SELF_DISCOVERY,drift,near,CONCERN_IDE_1527,33
"i struggle with reflect on learning mistakes",CONCERN_LEA_1590,METACOGNITIVE_DEVELOPMENT,drift,exact,CONCERN_LEA_1590,40
"i have trouble with reflect on learning mistakes",CONCERN_LEA_1590,METACOGNITIVE_DEVELOPMENT,drift,exact,CONCERN_LEA_1590,40
"i keep struggling with reflect on learning mistakes",CONCERN_LEA_1590,METACOGNITIVE_DEVELOPMENT,drift,exact,CONCERN_LEA_1590,34
"i cannot manage reflect on learning mistakes",CONCERN_LEA_1590,METACOGNITIVE_DEVELOPMENT,drift,exact,CONCERN_LEA_1590,34
"i need help with reflect on learning mistakes",CONCERN_LEA_1590,METACOGNITIVE_DEVELOPMENT,drift,exact,CONCERN_LEA_1590,34
"difficulty maintaining motivation during slow progress",CONCERN_LEA_1643,GROWTH_PERSISTENCE,drift,exact,CONCERN_LEA_1643,37
"i struggle with motivation during slow progress",CONCERN_LEA_1643,GROWTH_PERSISTENCE,drift,exact,CONCERN_LEA_1643,39
"i have trouble with motivation during slow progress",CONCERN_LEA_1643,GROWTH_PERSISTENCE,drift,exact,CONCERN_LEA_1643,39
"i keep struggling with motivation during slow progress",CONCERN_LEA_1643,GROWTH_PERSISTENCE,drift,exact,CONCERN_LEA_1643,34
"i need help with motivation during slow progress",CONCERN_LEA_1643,GROWTH_PERSISTENCE,drift,exact,CONCERN_LEA_1643,34
"i keep struggling with child becoming too dependent on parents",CONCERN_LEA_1847,ADJUSTMENT_COPING,drift,exact,CONCERN_LEA_1847,37
"i cannot manage child becoming too dependent on parents",CONCERN_LEA_1847,ADJUSTMENT_COPING,drift,exact,CONCERN_LEA_1847,37
"i need help with child becoming too dependent on parents",CONCERN_LEA_1847,ADJUSTMENT_COPING,drift,exact,CONCERN_LEA_1847,37
"poor attention span during learning",CONCERN_LEA_1936,ACADEMIC_COGNITIVE,drift,exact,CONCERN_LEA_1936,41
"i struggle with attention span during learning",CONCERN_LEA_1936,ACADEMIC_COGNITIVE,drift,exact,CONCERN_LEA_1936,39
"i have trouble with attention span during learning",CONCERN_LEA_1936,ACADEMIC_COGNITIVE,drift,exact,CONCERN_LEA_1936,39
"i keep struggling with attention span during learning",CONCERN_LEA_1936,ACADEMIC_COGNITIVE,drift,exact,CONCERN_LEA_1936,34
"i cannot manage attention span during learning",CONCERN_LEA_1936,ACADEMIC_COGNITIVE,drift,exact,CONCERN_LEA_1936,34
"i need help with attention span during learning",CONCERN_LEA_1936,ACADEMIC_COGNITIVE,drift,exact,CONCERN_LEA_1936,34
"i cannot manage excessive dependence on tuition",CONCERN_LEA_1958,ACADEMIC_COGNITIVE,drift,exact,CONCERN_LEA_1958,36
"i need help with digital learning discipline",CONCERN_LEA_1968,LIFESTYLE_PRESSURE,drift,near,CONCERN_EXA_2279,31
"i have trouble with continuous assessments",CONCERN_LEA_2111,EXAMINATION_READINESS,drift,exact,CONCERN_LEA_2111,37
"i cannot manage handling students with weak academic motivation",CONCERN_LEA_2134,MOTIVATION_VALUES,drift,failure,,0
"i keep struggling with managing students with low confidence in competitive discussions",CONCERN_LEA_2224,CONFIDENCE_SELF,drift,exact,CONCERN_LEA_2224,32
"i cannot manage managing students with low confidence in competitive discussions",CONCERN_LEA_2224,CONFIDENCE_SELF,drift,failure,,0
"i need help with managing students with low confidence in competitive discussions",CONCERN_LEA_2224,CONFIDENCE_SELF,drift,failure,,0
"i need help with managing students with weak emotional stability during results & rankings",CONCERN_LEA_2296,EXAMINATION_STRESS,drift,failure,,0
"i struggle with handling workplace uncertainty",CONCERN_LEA_604,EMOTIONAL_REGULATION,drift,failure,,0
"i have trouble with handling workplace uncertainty",CONCERN_LEA_604,EMOTIONAL_REGULATION,drift,exact,CONCERN_LEA_604,36
"i need help with handling workplace uncertainty",CONCERN_LEA_604,EMOTIONAL_REGULATION,drift,exact,CONCERN_LEA_604,31
"difficulty maintaining emotional stability during workplace conflict",CONCERN_LEA_625,EMOTIONAL_REGULATION,drift,exact,CONCERN_LEA_625,36
"i cannot manage optimism during workplace uncertainty",CONCERN_LEA_647,MOTIVATION_VALUES,drift,exact,CONCERN_LEA_647,38
"i cannot manage healthy habits during career growth phases",CONCERN_LEA_653,LIFESTYLE_PRESSURE,drift,exact,CONCERN_LEA_653,36
"i keep struggling with motivation during slow growth phases",CONCERN_LEA_709,MOTIVATION_VALUES,drift,exact,CONCERN_LEA_709,34
"i cannot manage motivation during slow growth phases",CONCERN_LEA_709,MOTIVATION_VALUES,drift,exact,CONCERN_LEA_709,34
"i need help with motivation during slow growth phases",CONCERN_LEA_709,MOTIVATION_VALUES,drift,exact,CONCERN_LEA_709,34
"i have trouble with peer competition emotionally",CONCERN_LEA_719,CONFIDENCE_SELF,drift,exact,CONCERN_LEA_719,37
"i keep struggling with peer competition emotionally",CONCERN_LEA_719,CONFIDENCE_SELF,drift,exact,CONCERN_LEA_719,32
"i cannot manage peer competition emotionally",CONCERN_LEA_719,CONFIDENCE_SELF,drift,exact,CONCERN_LEA_719,32
"difficulty maintaining emotional balance during workplace mistakes",CONCERN_LEA_733,EMOTIONAL_RECOVERY,drift,exact,CONCERN_LEA_733,37
"i keep struggling with emotional balance during workplace mistakes",CONCERN_LEA_733,EMOTIONAL_RECOVERY,drift,exact,CONCERN_LEA_733,34
"i cannot manage emotional balance during workplace mistakes",CONCERN_LEA_733,EMOTIONAL_RECOVERY,drift,failure,,0
"i need help with emotional balance during workplace mistakes",CONCERN_LEA_733,EMOTIONAL_RECOVERY,drift,exact,CONCERN_LEA_733,34
"weak ability to align personal growth with organizational opportunities",CONCERN_LEA_758,CAREER_GROWTH,drift,exact,CONCERN_LEA_758,38
"i struggle with align personal growth with organizational opportunities",CONCERN_LEA_758,CAREER_GROWTH,drift,exact,CONCERN_LEA_758,35
"i have trouble with align personal growth with organizational opportunities",CONCERN_LEA_758,CAREER_GROWTH,drift,exact,CONCERN_LEA_758,35
"i keep struggling with align personal growth with organizational opportunities",CONCERN_LEA_758,CAREER_GROWTH,drift,exact,CONCERN_LEA_758,35
"i cannot manage align personal growth with organizational opportunities",CONCERN_LEA_758,CAREER_GROWTH,drift,exact,CONCERN_LEA_758,35
"i need help with align personal growth with organizational opportunities",CONCERN_LEA_758,CAREER_GROWTH,drift,exact,CONCERN_LEA_758,35
"i cannot manage career plateau anxiety",CONCERN_LEA_769,CAREER_GROWTH,drift,exact,CONCERN_LEA_769,39
"i cannot manage balancing strategic vision with operational execution",CONCERN_LEA_865,STRATEGIC_LEADERSHIP,drift,exact,CONCERN_LEA_865,38
"i cannot manage leadership identity during rapid growth",CONCERN_LEA_875,ACADEMIC_IDENTITY,drift,exact,CONCERN_LEA_875,35
"i cannot manage emotional pressure during public organizational failures",CONCERN_LEA_927,EMOTIONAL_RECOVERY,drift,failure,,0
"i need help with emotional pressure during public organizational failures",CONCERN_LEA_927,EMOTIONAL_RECOVERY,drift,exact,CONCERN_LEA_927,33
"i keep struggling with build strategic career narratives across diverse domains",CONCERN_LIF_1044,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_LIF_1044,34
"i cannot manage build strategic career narratives across diverse domains",CONCERN_LIF_1044,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_LIF_1044,34
"i need help with build strategic career narratives across diverse domains",CONCERN_LIF_1044,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_LIF_1044,34
"i struggle with build long-term learning discipline",CONCERN_LIF_1090,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_LIF_1090,37
"i have trouble with build long-term learning discipline",CONCERN_LIF_1090,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_LIF_1090,37
"i keep struggling with build long-term learning discipline",CONCERN_LIF_1090,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_LIF_1090,32
"i cannot manage build long-term learning discipline",CONCERN_LIF_1090,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_LIF_1090,32
"i keep struggling with handling unpredictable questions",CONCERN_LIF_140,THINKING_QUALITY,drift,exact,CONCERN_LIF_140,40
"i struggle with focus & attention",CONCERN_LIF_1733,ACADEMIC_COGNITIVE,drift,exact,CONCERN_LIF_1733,37
"i have trouble with focus & attention",CONCERN_LIF_1733,ACADEMIC_COGNITIVE,drift,exact,CONCERN_LIF_1733,37
