intent,target_id,target_tag,after_class,resolved_id,tie_count,confidence
"i need help with handling students with weak exam writing structure",CONCERN_DIS_2194,EXAMINATION_READINESS,drift,CONCERN_COM_2261,2,33
"i cannot manage supporting students with weak curiosity in stem activities",CONCERN_DIS_2200,STEM_LEARNING,drift,CONCERN_DIS_678,1,22
"i cannot manage managing students with weak focus during revision sessions",CONCERN_DIS_2208,EXAMINATION_READINESS,drift,CONCERN_EMO_1412,1,26
"i need help with managing students with weak focus during revision sessions",CONCERN_DIS_2208,EXAMINATION_READINESS,failure,,1,0
"i cannot manage supporting students with weak confidence in practical assessments",CONCERN_DIS_2232,STEM_LEARNING,drift,CONCERN_DIS_678,1,25
"i need help with supporting students with weak confidence in practical assessments",CONCERN_DIS_2232,STEM_LEARNING,failure,,1,0
"i cannot manage handling students with weak concept transfer skills",CONCERN_DIS_2252,INTERDISCIPLINARY_LEARNING,failure,,1,0
"i need help with handling students with weak concept transfer skills",CONCERN_DIS_2252,INTERDISCIPLINARY_LEARNING,drift,CONCERN_CLA_2243,1,33
"i need help with students with reduced attention during digital classes",CONCERN_DIS_2263,LIFESTYLE_PRESSURE,drift,CONCERN_COM_2453,1,29
"i keep struggling with handling students with weak cognitive accuracy under pressure",CONCERN_DIS_2288,THINKING_QUALITY,drift,CONCERN_ACA_2340,1,28
"i cannot manage handling students with weak cognitive accuracy under pressure",CONCERN_DIS_2288,THINKING_QUALITY,failure,,1,0
"i need help with handling students with weak cognitive accuracy under pressure",CONCERN_DIS_2288,THINKING_QUALITY,failure,,3,0
"i keep struggling with supporting students with weak learning recovery after academic breaks",CONCERN_DIS_2292,ACADEMIC_COGNITIVE,drift,CONCERN_SOC_1338,2,21
"i cannot manage supporting students with weak learning recovery after academic breaks",CONCERN_DIS_2292,ACADEMIC_COGNITIVE,drift,CONCERN_DIS_678,1,25
"i need help with supporting students with weak learning recovery after academic breaks",CONCERN_DIS_2292,ACADEMIC_COGNITIVE,failure,,1,0
"i cannot manage revision consistency",CONCERN_DIS_2406,DISCIPLINE_HABITS,failure,,12,0
"i keep struggling with supporting students with weak learning structure across subjects",CONCERN_DIS_2460,ACADEMIC_COGNITIVE,drift,CONCERN_SOC_1338,2,21
"i cannot manage supporting students with weak learning structure across subjects",CONCERN_DIS_2460,ACADEMIC_COGNITIVE,drift,CONCERN_DIS_678,1,25
"i need help with supporting students with weak learning structure across subjects",CONCERN_DIS_2460,ACADEMIC_COGNITIVE,failure,,1,0
"i struggle with study motivation",CONCERN_DIS_2473,MOTIVATION_VALUES,drift,CONCERN_CAR_256,12,31
"i keep struggling with study motivation",CONCERN_DIS_2473,MOTIVATION_VALUES,failure,,3,0
"i cannot manage study motivation",CONCERN_DIS_2473,MOTIVATION_VALUES,drift,CONCERN_CON_1942,3,22
"i need help with study motivation",CONCERN_DIS_2473,MOTIVATION_VALUES,drift,CONCERN_CLA_2119,4,31
"i struggle with solving unfamiliar problems",CONCERN_DIS_286,THINKING_QUALITY,drift,CONCERN_ACA_1650,2,34
"i cannot manage emotional stability during career uncertainty",CONCERN_DIS_36,EXAMINATION_STRESS,drift,CONCERN_CAR_713,1,19
"i need help with balancing academics and social life",CONCERN_DIS_4,ADJUSTMENT_COPING,failure,,1,0
"i struggle with seek help professionally at work",CONCERN_DIS_446,COMMUNICATION_EXPRESSION,drift,CONCERN_MET_2303,1,27
"i cannot manage technical interviews",CONCERN_DIS_48,EMPLOYABILITY,failure,,1,0
"i keep struggling with build confidence in strategic workplace conversations",CONCERN_EMO_1102,COMMUNICATION_EXPRESSION,drift,CONCERN_LIF_1078,1,21
"i cannot manage build confidence in strategic workplace conversations",CONCERN_EMO_1102,COMMUNICATION_EXPRESSION,drift,CONCERN_ACA_451,1,26
"difficulty managing emotional pressure from team dependencies",CONCERN_EMO_1137,COLLABORATION_OWNERSHIP,drift,CONCERN_COM_809,1,24
"i struggle with emotional pressure from team dependencies",CONCERN_EMO_1137,COLLABORATION_OWNERSHIP,drift,CONCERN_EMP_1053,2,24
"i have trouble with emotional pressure from team dependencies",CONCERN_EMO_1137,COLLABORATION_OWNERSHIP,failure,,1,0
"i keep struggling with emotional pressure from team dependencies",CONCERN_EMO_1137,COLLABORATION_OWNERSHIP,failure,,1,0
"i cannot manage emotional pressure from team dependencies",CONCERN_EMO_1137,COLLABORATION_OWNERSHIP,failure,,1,0
"i need help with emotional pressure from team dependencies",CONCERN_EMO_1137,COLLABORATION_OWNERSHIP,failure,,1,0
"i need help with visibility into teacher burnout and instructional fatigue",CONCERN_EMO_1182,FACULTY_EFFECTIVENESS,drift,CONCERN_ACA_1198,1,39
"i cannot manage visibility into student independent thinking development",CONCERN_EMO_1222,THINKING_QUALITY,drift,CONCERN_LEA_1246,1,29
"i keep struggling with visibility into institutional peer influence dynamics",CONCERN_EMO_1242,SOCIAL_EMOTIONAL,drift,CONCERN_CON_1234,3,29
"i cannot manage visibility into institutional peer influence dynamics",CONCERN_EMO_1242,SOCIAL_EMOTIONAL,drift,CONCERN_LEA_1246,1,37
"i keep struggling with visibility into institutional future leadership competency trends",CONCERN_EMO_1258,LEADERSHIP_OWNERSHIP,drift,CONCERN_SOC_1338,1,29
"i cannot manage visibility into institutional future leadership competency trends",CONCERN_EMO_1258,LEADERSHIP_OWNERSHIP,drift,CONCERN_LEA_1246,1,37
"i struggle with peer influence management",CONCERN_EMO_1412,SOCIAL_DEVELOPMENT,drift,CONCERN_HOL_781,1,18
"i keep struggling with peer influence management",CONCERN_EMO_1412,SOCIAL_DEVELOPMENT,drift,CONCERN_EMO_584,1,13
"weak ability to adapt learning strategies during failure",CONCERN_EMO_350,ADAPTIVE_LEARNING,drift,CONCERN_EXA_122,1,29
"i struggle with adapt learning strategies during failure",CONCERN_EMO_350,ADAPTIVE_LEARNING,failure,,1,0
"i cannot manage adapt learning strategies during failure",CONCERN_EMO_350,ADAPTIVE_LEARNING,failure,,1,0
"i need help with adapt learning strategies during failure",CONCERN_EMO_350,ADAPTIVE_LEARNING,failure,,1,0
"i keep struggling with group discussions",CONCERN_EMO_366,COMMUNICATION_EXPRESSION,drift,CONCERN_DEC_1470,1,20
"i struggle with career direction during transition",CONCERN_EMO_470,ACADEMIC_IDENTITY,drift,CONCERN_REF_1543,1,28
"i need help with emotional fatigue from constant comparison",CONCERN_EMO_519,CONFIDENCE_SELF,failure,,1,0
"i need help with sustain career learning momentum",CONCERN_EMO_556,COMPETENCY_DEVELOPMENT,drift,CONCERN_STE_2219,1,39
"i need help with prioritize competing responsibilities",CONCERN_EMO_564,STRATEGIC_PREPARATION,failure,,1,0
"i struggle with work-life boundaries",CONCERN_EMO_605,LIFESTYLE_PRESSURE,drift,CONCERN_CAR_256,12,31
"i need help with understanding long-term career growth pathways",CONCERN_EMO_679,CAREER_GROWTH,failure,,1,0
"i keep struggling with emotional stress during leadership reviews",CONCERN_EMP_1095,LEADERSHIP_OWNERSHIP,drift,CONCERN_HOL_781,1,30
"i cannot manage emotional stress during leadership reviews",CONCERN_EMP_1095,LEADERSHIP_OWNERSHIP,drift,CONCERN_CAR_713,1,17
"i need help with emotional stress during leadership reviews",CONCERN_EMP_1095,LEADERSHIP_OWNERSHIP,drift,CONCERN_HEL_2306,1,38
"i struggle with student cognitive overload",CONCERN_EMP_1173,ACADEMIC_COGNITIVE,failure,,3,0
"i cannot manage student cognitive overload",CONCERN_EMP_1173,ACADEMIC_COGNITIVE,failure,,1,0
"i need help with student cognitive overload",CONCERN_EMP_1173,ACADEMIC_COGNITIVE,drift,CONCERN_ACA_2199,1,28
"i cannot manage visibility into institutional collaboration culture",CONCERN_EMP_1214,COLLABORATION_OWNERSHIP,drift,CONCERN_LEA_1246,1,36
"i keep struggling with visibility into student career direction clarity",CONCERN_EMP_1318,CAREER_GROWTH,drift,CONCERN_SOC_1338,2,33
"i cannot manage visibility into student career direction clarity",CONCERN_EMP_1318,CAREER_GROWTH,drift,CONCERN_LEA_1246,1,32
"i need help with visibility into student career direction clarity",CONCERN_EMP_1318,CAREER_GROWTH,failure,,1,0
"i struggle with placement pressure",CONCERN_EMP_17,EXAMINATION_STRESS,drift,CONCERN_EMP_1053,1,32
"i keep struggling with placement pressure",CONCERN_EMP_17,EXAMINATION_STRESS,drift,CONCERN_EMP_1053,1,26
"i cannot manage placement pressure",CONCERN_EMP_17,EXAMINATION_STRESS,drift,CONCERN_COM_430,2,31
"i need help with placement pressure",CONCERN_EMP_17,EXAMINATION_STRESS,failure,,1,0
"i struggle with rejection during placements",CONCERN_EMP_33,EXAMINATION_STRESS,drift,CONCERN_REF_1543,1,28
"i cannot manage constructive feedback professionally",CONCERN_EMP_45,COMMUNICATION_EXPRESSION,drift,CONCERN_ACA_1062,1,24
"i struggle with job interviews",CONCERN_EMP_462,COMMUNICATION_EXPRESSION,drift,CONCERN_CAR_256,3,31
"i cannot manage job interviews",CONCERN_EMP_462,COMMUNICATION_EXPRESSION,failure,,2,0
"i need help with job interviews",CONCERN_EMP_462,COMMUNICATION_EXPRESSION,failure,,1,0
"i struggle with emotional burnout during placements",CONCERN_EMP_49,LIFESTYLE_PRESSURE,drift,CONCERN_REF_1543,1,23
"i cannot manage emotional burnout during placements",CONCERN_EMP_49,LIFESTYLE_PRESSURE,drift,CONCERN_CAR_713,1,20
"i struggle with productivity during emotional stress",CONCERN_EMP_615,EMOTIONAL_REGULATION,drift,CONCERN_MOT_2172,2,27
"i need help with sustaining motivation over long academic cycles",CONCERN_ENG_1466,LONG_TERM,drift,CONCERN_LEA_2285,1,26
"i keep struggling with fear of exams",CONCERN_EXA_1665,EXAMINATION_STRESS,failure,,3,0
"i cannot manage fear of exams",CONCERN_EXA_1665,EXAMINATION_STRESS,failure,,3,0
"i need help with fear of exams",CONCERN_EXA_1665,EXAMINATION_STRESS,drift,CONCERN_THI_2237,1,34
"i struggle with academic pressure",CONCERN_EXA_1667,EXAMINATION_STRESS,drift,CONCERN_EMP_1053,2,25
"i keep struggling with academic pressure",CONCERN_EXA_1667,EXAMINATION_STRESS,drift,CONCERN_SOC_2378,1,34
"i cannot manage academic pressure",CONCERN_EXA_1667,EXAMINATION_STRESS,drift,CONCERN_DIS_678,2,29
"i need help with academic pressure",CONCERN_EXA_1667,EXAMINATION_STRESS,drift,CONCERN_CLA_2243,3,29
"i struggle with presentation skills",CONCERN_EXA_1683,COMMUNICATION_EXPRESSION,drift,CONCERN_ACA_1650,1,30
"i need help with presentation skills",CONCERN_EXA_1683,COMMUNICATION_EXPRESSION,failure,,1,0
"i struggle with solving application-based questions",CONCERN_EXA_1709,COMPETENCY_DEVELOPMENT,drift,CONCERN_ACA_1650,1,29
"i struggle with academic endurance",CONCERN_EXA_1715,ACADEMIC_PERFORMANCE,drift,CONCERN_CAR_256,7,36
"i keep struggling with competitive exam aptitude",CONCERN_EXA_1717,COMPETITIVE_EXAM,drift,CONCERN_CON_1322,1,21
"i struggle with motivation",CONCERN_EXA_1743,MOTIVATION_VALUES,drift,CONCERN_CAR_256,12,37
"i keep struggling with motivation",CONCERN_EXA_1743,MOTIVATION_VALUES,drift,CONCERN_ADJ_1895,3,25
"i cannot manage motivation",CONCERN_EXA_1743,MOTIVATION_VALUES,drift,CONCERN_COM_1801,13,26
"i need help with social isolation",CONCERN_EXA_1748,ADJUSTMENT_COPING,failure,,2,0
"i struggle with resilience",CONCERN_EXA_1755,EXAMINATION_STRESS,drift,CONCERN_CAR_256,12,37
"i cannot manage resilience",CONCERN_EXA_1755,EXAMINATION_STRESS,drift,CONCERN_LEA_1430,1,40
"i need help with resilience",CONCERN_EXA_1755,EXAMINATION_STRESS,drift,CONCERN_CON_1777,10,28
"i need help with purpose & direction",CONCERN_EXA_1760,ACADEMIC_IDENTITY,failure,,1,0
"i cannot manage study burnout",CONCERN_EXA_1764,EXAMINATION_STRESS,failure,,3,0
"i need help with study burnout",CONCERN_EXA_1764,EXAMINATION_STRESS,failure,,4,0
"i struggle with reading habits",CONCERN_EXA_1765,FOUNDATIONAL_LEARNING,drift,CONCERN_HOL_781,1,28
"i keep struggling with reading habits",CONCERN_EXA_1765,FOUNDATIONAL_LEARNING,failure,,10,0
"i cannot manage reading habits",CONCERN_EXA_1765,FOUNDATIONAL_LEARNING,failure,,6,0
"i need help with reading habits",CONCERN_EXA_1765,FOUNDATIONAL_LEARNING,failure,,5,0
"i need help with fear of judgement",CONCERN_EXA_1781,CONFIDENCE_SELF,drift,CONCERN_HEL_2304,1,32
"i keep struggling with group discussions",CONCERN_EXA_18,COMMUNICATION_EXPRESSION,drift,CONCERN_DEC_1470,1,20
"i struggle with decision-making skills",CONCERN_EXA_1813,THINKING_QUALITY,drift,CONCERN_ACA_1650,1,31
"i keep struggling with decision-making skills",CONCERN_EXA_1813,THINKING_QUALITY,failure,,2,0
"i cannot manage decision-making skills",CONCERN_EXA_1813,THINKING_QUALITY,failure,,1,0
"i need help with decision-making skills",CONCERN_EXA_1813,THINKING_QUALITY,failure,,1,0
"i struggle with purpose",CONCERN_EXA_1821,ACADEMIC_IDENTITY,drift,CONCERN_CAR_256,12,37
"i struggle with emotional exhaustion",CONCERN_EXA_1825,EXAMINATION_STRESS,drift,CONCERN_SOC_2334,4,24
"i cannot manage emotional exhaustion",CONCERN_EXA_1825,EXAMINATION_STRESS,drift,CONCERN_LEA_783,1,50
"i need help with emotional exhaustion",CONCERN_EXA_1825,EXAMINATION_STRESS,failure,,2,0
"i struggle with self-awareness",CONCERN_EXA_1826,SELF_REFLECTION,drift,CONCERN_CAR_256,12,37
"i struggle with fear of competitive exams",CONCERN_EXA_1832,EXAMINATION_STRESS,failure,,1,0
"i need help with fear of competitive exams",CONCERN_EXA_1832,EXAMINATION_STRESS,drift,CONCERN_THI_2237,1,28
"i struggle with career awareness",CONCERN_EXA_1833,ACADEMIC_IDENTITY,drift,CONCERN_CAR_256,3,37
"i keep struggling with career awareness",CONCERN_EXA_1833,ACADEMIC_IDENTITY,failure,,10,0
"i cannot manage career awareness",CONCERN_EXA_1833,ACADEMIC_IDENTITY,failure,,19,0
"i need help with career awareness",CONCERN_EXA_1833,ACADEMIC_IDENTITY,failure,,1,0
"i need help with last-minute revision effectiveness",CONCERN_EXA_184,EXAMINATION_READINESS,drift,CONCERN_SEL_2459,1,32
"i struggle with decision-making skills",CONCERN_EXA_1965,THINKING_QUALITY,drift,CONCERN_ACA_1650,1,31
"i keep struggling with decision-making skills",CONCERN_EXA_1965,THINKING_QUALITY,failure,,2,0
"i cannot manage decision-making skills",CONCERN_EXA_1965,THINKING_QUALITY,failure,,1,0
"i need help with decision-making skills",CONCERN_EXA_1965,THINKING_QUALITY,failure,,1,0
"i cannot manage multiple subjects",CONCERN_EXA_1972,ACADEMIC_COGNITIVE,failure,,2,0
"i struggle with self-correction ability",CONCERN_EXA_2018,SELF_REFLECTION,drift,CONCERN_CAR_256,2,29
"i need help with long-term academic planning",CONCERN_EXA_2030,ACADEMIC_IDENTITY,drift,CONCERN_LEA_1043,1,34
"i cannot manage long-term career vision",CONCERN_EXA_206,ACADEMIC_IDENTITY,drift,CONCERN_COM_434,1,31
"i struggle with adaptive problem-solving skills",CONCERN_EXA_2068,THINKING_QUALITY,drift,CONCERN_ACA_1650,1,35
"i struggle with learning accountability",CONCERN_EXA_2098,MOTIVATION_VALUES,drift,CONCERN_DIS_2131,2,25
"i cannot manage learning accountability",CONCERN_EXA_2098,MOTIVATION_VALUES,failure,,1,0
"i need help with learning accountability",CONCERN_EXA_2098,MOTIVATION_VALUES,failure,,1,0
"i struggle with student comparison culture",CONCERN_EXA_2139,CONFIDENCE_SELF,failure,,2,0
"i cannot manage student comparison culture",CONCERN_EXA_2139,CONFIDENCE_SELF,failure,,1,0
"i cannot manage supporting students with weak goal clarity",CONCERN_EXA_2146,ACADEMIC_IDENTITY,drift,CONCERN_DIS_678,1,23
"i keep struggling with managing students with weak classroom engagement",CONCERN_EXA_2153,CLASSROOM_ENGAGEMENT,drift,CONCERN_LEA_1246,1,15
"i cannot manage managing students with weak classroom engagement",CONCERN_EXA_2153,CLASSROOM_ENGAGEMENT,drift,CONCERN_DIS_678,2,21
"i cannot manage supporting students with weak attention recovery",CONCERN_EXA_2159,ACADEMIC_COGNITIVE,failure,,1,0
"i need help with supporting students with weak attention recovery",CONCERN_EXA_2159,ACADEMIC_COGNITIVE,failure,,1,0
"i cannot manage supporting students with weak goal persistence",CONCERN_EXA_2171,MOTIVATION_VALUES,drift,CONCERN_DIS_678,1,23
"i keep struggling with supporting students with weak reading fluency",CONCERN_EXA_2182,COMMUNICATION_EXPRESSION,drift,CONCERN_CON_1322,2,23
"i need help with supporting students with weak reading fluency",CONCERN_EXA_2182,COMMUNICATION_EXPRESSION,failure,,5,0
"i cannot manage managing students with poor subject retention over time",CONCERN_EXA_2184,ACADEMIC_COGNITIVE,drift,CONCERN_DIS_2120,4,32
"i need help with supporting students with weak interpretation skills",CONCERN_EXA_2196,COMMUNICATION_EXPRESSION,failure,,1,0
"i cannot manage students with poor study environment at home",CONCERN_EXA_2221,ADJUSTMENT_COPING,failure,,1,0
"i cannot manage supporting students with weak reflection and self-correction skills",CONCERN_EXA_2226,SELF_REFLECTION,drift,CONCERN_DIS_678,1,24
"i cannot manage supporting students with low academic curiosity",CONCERN_EXA_2235,MOTIVATION_VALUES,drift,CONCERN_DIS_678,1,28
"i cannot manage supporting students with weak peer collaboration",CONCERN_EXA_2241,COLLABORATION_OWNERSHIP,drift,CONCERN_DIS_678,1,24
"i need help with supporting students with weak peer collaboration",CONCERN_EXA_2241,COLLABORATION_OWNERSHIP,failure,,1,0
"i keep struggling with managing students with weak academic resilience",CONCERN_EXA_2248,EXAMINATION_STRESS,drift,CONCERN_LEA_1246,1,15
"i cannot manage managing students with weak academic resilience",CONCERN_EXA_2248,EXAMINATION_STRESS,drift,CONCERN_DIS_678,1,30
"i need help with managing students with weak academic resilience",CONCERN_EXA_2248,EXAMINATION_STRESS,failure,,8,0
"i keep struggling with supporting students with weak learning adaptability across subjects",CONCERN_EXA_2256,LEARNING_ADAPTABILITY,drift,CONCERN_SOC_1338,2,21
"i cannot manage supporting students with weak learning adaptability across subjects",CONCERN_EXA_2256,LEARNING_ADAPTABILITY,drift,CONCERN_DIS_678,1,25
"i need help with supporting students with weak learning adaptability across subjects",CONCERN_EXA_2256,LEARNING_ADAPTABILITY,failure,,1,0
"i keep struggling with handling students with weak academic ownership during projects",CONCERN_EXA_2258,COLLABORATION_OWNERSHIP,drift,CONCERN_ACA_2340,1,25
"i cannot manage handling students with weak academic ownership during projects",CONCERN_EXA_2258,COLLABORATION_OWNERSHIP,failure,,1,0
"i need help with handling students with weak academic ownership during projects",CONCERN_EXA_2258,COLLABORATION_OWNERSHIP,drift,CONCERN_CLA_2243,1,36
"i need help with supporting students with weak interpretation of case-based questions",CONCERN_EXA_2286,EXAMINATION_READINESS,failure,,1,0
"i cannot manage emotional regulation during classroom pressure",CONCERN_EXA_2357,EXAMINATION_STRESS,drift,CONCERN_CAR_713,1,19
"i keep struggling with supporting students with weak academic initiative",CONCERN_EXA_2463,MOTIVATION_VALUES,failure,,1,0
"i cannot manage supporting students with weak academic initiative",CONCERN_EXA_2463,MOTIVATION_VALUES,drift,CONCERN_DIS_678,1,30
"i need help with supporting students with weak academic initiative",CONCERN_EXA_2463,MOTIVATION_VALUES,failure,,1,0
"i keep struggling with academic recovery after poor scores",CONCERN_EXA_2488,EXAMINATION_STRESS,drift,CONCERN_CAR_256,1,27
"i struggle with decision-making confidence",CONCERN_EXP_1513,PERSONAL_DECISION,drift,CONCERN_CAR_256,2,39
"i keep struggling with decision-making confidence",CONCERN_EXP_1513,PERSONAL_DECISION,failure,,2,0
"i cannot manage decision-making confidence",CONCERN_EXP_1513,PERSONAL_DECISION,drift,CONCERN_CAR_770,1,33
"i need help with decision-making confidence",CONCERN_EXP_1513,PERSONAL_DECISION,failure,,1,0
"i cannot manage visibility into student attention fatigue institutionally",CONCERN_FAC_1210,ACADEMIC_COGNITIVE,drift,CONCERN_EMO_1412,1,19
"i keep struggling with visibility into student stress distribution across grades",CONCERN_FAC_1218,EMOTIONAL_REGULATION,drift,CONCERN_INQ_1206,3,28
"i cannot manage visibility into student stress distribution across grades",CONCERN_FAC_1218,EMOTIONAL_REGULATION,drift,CONCERN_LEA_1246,1,31
"i need help with visibility into student stress distribution across grades",CONCERN_FAC_1218,EMOTIONAL_REGULATION,failure,,1,0
"i cannot manage visibility into student adaptability during curriculum changes",CONCERN_FAC_1250,ADAPTIVE_LEARNING,drift,CONCERN_LEA_1246,1,29
"i need help with visibility into student adaptability during curriculum changes",CONCERN_FAC_1250,ADAPTIVE_LEARNING,failure,,1,0
"i keep struggling with visibility into student learning pace differences",CONCERN_FAC_1286,ADAPTIVE_DIAGNOSTICS,drift,CONCERN_SOC_1338,2,34
"i cannot manage visibility into student learning pace differences",CONCERN_FAC_1286,ADAPTIVE_DIAGNOSTICS,drift,CONCERN_LEA_1246,1,32
"i need help with visibility into student learning pace differences",CONCERN_FAC_1286,ADAPTIVE_DIAGNOSTICS,failure,,1,0
"i cannot manage collaboration in group activities",CONCERN_FEE_1450,SOCIAL_LEARNING,failure,,1,0
"i cannot manage emotional balance during career uncertainty",CONCERN_FIN_449,EMOTIONAL_REGULATION,failure,,1,0
"i struggle with independent learning ability",CONCERN_FOU_1675,SELF_LEARNING,failure,,2,0
"i cannot manage independent learning ability",CONCERN_FOU_1675,SELF_LEARNING,drift,CONCERN_COM_430,1,32
"i need help with independent learning ability",CONCERN_FOU_1675,SELF_LEARNING,drift,CONCERN_COL_1273,1,20
"i cannot manage independent thinking",CONCERN_FOU_1797,THINKING_QUALITY,failure,,2,0
"i need help with independent thinking",CONCERN_FOU_1797,THINKING_QUALITY,drift,CONCERN_ACA_2444,1,45
"i struggle with problem-solving ability",CONCERN_FOU_1933,THINKING_QUALITY,drift,CONCERN_ACA_1650,1,34
"i need help with problem-solving ability",CONCERN_FOU_1933,THINKING_QUALITY,failure,,4,0
"i struggle with identifying student learning gaps",CONCERN_FOU_2115,CLASSROOM_ENGAGEMENT,drift,CONCERN_DIS_2131,1,28
"i struggle with managing students with emotional instability",CONCERN_FOU_2136,EXAMINATION_STRESS,drift,CONCERN_HOL_781,2,19
"i keep struggling with managing students with emotional instability",CONCERN_FOU_2136,EXAMINATION_STRESS,failure,,1,0
"i cannot manage managing students with emotional instability",CONCERN_FOU_2136,EXAMINATION_STRESS,drift,CONCERN_DIS_678,1,21
"i struggle with supporting students with weak academic recovery skills",CONCERN_FOU_2167,EXAMINATION_STRESS,failure,,1,0
"i keep struggling with supporting students with weak academic recovery skills",CONCERN_FOU_2167,EXAMINATION_STRESS,failure,,1,0
"i cannot manage supporting students with weak academic recovery skills",CONCERN_FOU_2167,EXAMINATION_STRESS,drift,CONCERN_DIS_678,1,30
"i need help with supporting students with weak academic recovery skills",CONCERN_FOU_2167,EXAMINATION_STRESS,failure,,1,0
"i cannot manage criticism and feedback",CONCERN_FUT_1424,GROWTH_MINDSET,drift,CONCERN_ACA_1062,1,30
"i cannot manage excessive dependence on parents for decisions",CONCERN_GRO_1410,PERSONAL_GROWTH,drift,CONCERN_BEH_1457,1,27
"i cannot manage emotional pressure during organizational restructuring",CONCERN_HOL_1081,WORKPLACE_ADAPTATION,drift,CONCERN_CAR_713,1,29
"i need help with emotional pressure during organizational restructuring",CONCERN_HOL_1081,WORKPLACE_ADAPTATION,drift,CONCERN_HEL_2306,1,30
"i keep struggling with supporting students with emotional recovery after failure",CONCERN_HOL_2152,EXAMINATION_STRESS,drift,CONCERN_COL_1215,2,22
"i cannot manage supporting students with emotional recovery after failure",CONCERN_HOL_2152,EXAMINATION_STRESS,drift,CONCERN_DIS_678,1,24
"i keep struggling with supporting students with weak emotional recovery after public criticism",CONCERN_HOL_2277,EXAMINATION_STRESS,drift,CONCERN_INQ_1254,1,16
"i cannot manage supporting students with weak emotional recovery after public criticism",CONCERN_HOL_2277,EXAMINATION_STRESS,drift,CONCERN_DIS_678,1,25
"i need help with supporting students with weak emotional recovery after public criticism",CONCERN_HOL_2277,EXAMINATION_STRESS,drift,CONCERN_HEL_2305,1,16
"i struggle with learning persistence",CONCERN_HOL_2479,MOTIVATION_VALUES,drift,CONCERN_DIS_2131,2,25
"i need help with learning persistence",CONCERN_HOL_2479,MOTIVATION_VALUES,failure,,1,0
"i need help with building confidence in independent skill experimentation",CONCERN_HOL_321,CONFIDENCE_SELF,failure,,2,0
"i need help with sustaining strategic focus during rapid business expansion",CONCERN_HOL_901,STRATEGIC_LEADERSHIP,drift,CONCERN_COM_2453,1,38
"i keep struggling with enterprise leadership confidence during market volatility",CONCERN_HOL_921,STRATEGIC_LEADERSHIP,failure,,1,0
"i struggle with self-confidence despite capability",CONCERN_IDE_1500,PERSONAL_DEVELOPMENT,drift,CONCERN_COG_1532,2,41
"i have trouble with self-confidence despite capability",CONCERN_IDE_1500,PERSONAL_DEVELOPMENT,drift,CONCERN_COG_1532,2,41
"i keep struggling with self-confidence despite capability",CONCERN_IDE_1500,PERSONAL_DEVELOPMENT,drift,CONCERN_COG_1532,2,36
"i cannot manage self-confidence despite capability",CONCERN_IDE_1500,PERSONAL_DEVELOPMENT,drift,CONCERN_COG_1532,2,36
"i need help with self-confidence despite capability",CONCERN_IDE_1500,PERSONAL_DEVELOPMENT,drift,CONCERN_COG_1532,2,36
"i struggle with students struggling with networking confidence",CONCERN_INC_1484,PROFESSIONAL_LEADERSHIP,drift,CONCERN_CAR_256,2,35
"i cannot manage visibility into institutional emotional recovery after failure",CONCERN_INQ_1254,EMOTIONAL_RECOVERY,drift,CONCERN_LEA_1246,1,40
"i need help with visibility into institutional emotional recovery after failure",CONCERN_INQ_1254,EMOTIONAL_RECOVERY,failure,,1,0
"i keep struggling with leadership and team collaboration",CONCERN_INT_1429,LEADERSHIP_READINESS,drift,CONCERN_FEE_1450,1,21
"i cannot manage leadership and team collaboration",CONCERN_INT_1429,LEADERSHIP_READINESS,drift,CONCERN_COM_767,1,24
"i struggle with strategic preparation for exams",CONCERN_INT_2097,EXAMINATION_READINESS,failure,,1,0
"i keep struggling with strategic preparation for exams",CONCERN_INT_2097,EXAMINATION_READINESS,drift,CONCERN_LIF_1078,2,20
"i cannot manage strategic preparation for exams",CONCERN_INT_2097,EXAMINATION_READINESS,drift,CONCERN_STU_1356,1,25
"i need help with strategic preparation for exams",CONCERN_INT_2097,EXAMINATION_READINESS,drift,CONCERN_EMO_988,1,23
"i struggle with students with fear of mathematics",CONCERN_INT_2217,STEM_LEARNING,failure,,1,0
"i struggle with productivity during emotional stress",CONCERN_LEA_1135,ACADEMIC_COGNITIVE,drift,CONCERN_MOT_2172,2,27
"i have trouble with productivity during emotional stress",CONCERN_LEA_1135,ACADEMIC_COGNITIVE,drift,CONCERN_EMP_615,3,39
"i keep struggling with productivity during emotional stress",CONCERN_LEA_1135,ACADEMIC_COGNITIVE,drift,CONCERN_EMP_615,3,33
"i cannot manage productivity during emotional stress",CONCERN_LEA_1135,ACADEMIC_COGNITIVE,drift,CONCERN_EMP_615,3,33
"i need help with productivity during emotional stress",CONCERN_LEA_1135,ACADEMIC_COGNITIVE,drift,CONCERN_EMP_615,3,33
"i need help with teacher adaptability to new pedagogies",CONCERN_LEA_1209,FACULTY_DEVELOPMENT,failure,,1,0
"i need help with instructional quality during faculty turnover",CONCERN_LEA_1283,FACULTY_EFFECTIVENESS,failure,,1,0
"i keep struggling with visibility into student professional discipline and reliability",CONCERN_LEA_1330,DISCIPLINE_HABITS,drift,CONCERN_INQ_1206,8,27
"i need help with visibility into student professional discipline and reliability",CONCERN_LEA_1330,DISCIPLINE_HABITS,failure,,1,0
