intent,target_id,target_label,before_class,resolved_id,confidence,short_intent
"i cannot manage child refusing offline activities",CONCERN_LIF_1904,"Child Refusing Offline Activities",failure,CONCERN_LIF_1904,50,false
"i need help with child refusing offline activities",CONCERN_LIF_1904,"Child Refusing Offline Activities",failure,CONCERN_LIF_1904,43,false
"i keep struggling with placement interviews",CONCERN_LIF_30,"Placement Interviews",failure,CONCERN_CAR_362,31,false
"i struggle with awareness of meta-learning strategies",CONCERN_LIF_346,"Awareness of Meta-Learning Strategies",failure,CONCERN_LIF_346,40,false
"i have trouble with awareness of meta-learning strategies",CONCERN_LIF_346,"Awareness of Meta-Learning Strategies",failure,CONCERN_LIF_346,40,false
"i keep struggling with awareness of meta-learning strategies",CONCERN_LIF_346,"Awareness of Meta-Learning Strategies",failure,CONCERN_LIF_346,36,false
"i cannot manage awareness of meta-learning strategies",CONCERN_LIF_346,"Awareness of Meta-Learning Strategies",failure,CONCERN_LIF_346,36,false
"i need help with awareness of meta-learning strategies",CONCERN_LIF_346,"Awareness of Meta-Learning Strategies",failure,CONCERN_LIF_346,36,false
"i struggle with awareness of industry-relevant competencies",CONCERN_LIF_372,"Awareness of Industry-Relevant Competencies",failure,CONCERN_EMO_274,32,false
"i have trouble with awareness of industry-relevant competencies",CONCERN_LIF_372,"Awareness of Industry-Relevant Competencies",failure,CONCERN_EMO_274,32,false
"i keep struggling with awareness of industry-relevant competencies",CONCERN_LIF_372,"Awareness of Industry-Relevant Competencies",failure,CONCERN_EMO_274,29,false
"i cannot manage awareness of industry-relevant competencies",CONCERN_LIF_372,"Awareness of Industry-Relevant Competencies",failure,CONCERN_EMO_274,29,false
"i need help with awareness of industry-relevant competencies",CONCERN_LIF_372,"Awareness of Industry-Relevant Competencies",failure,CONCERN_EMO_274,29,false
"i keep struggling with build emotional boundaries in professional relationships",CONCERN_MOT_1118,"Build Emotional Boundaries in Professional Relationships",failure,CONCERN_MOT_1118,26,false
"i keep struggling with prioritizing tasks",CONCERN_MOT_1679,"Prioritizing Tasks",failure,CONCERN_MOT_1679,32,false
"i cannot manage prioritizing tasks",CONCERN_MOT_1679,"Prioritizing Tasks",failure,CONCERN_MOT_1679,32,false
"i need help with prioritizing tasks",CONCERN_MOT_1679,"Prioritizing Tasks",failure,CONCERN_MOT_1679,32,false
"i struggle with procrastination",CONCERN_MOT_1744,"Procrastination",failure,CONCERN_CAR_256,37,true
"i have trouble with procrastination",CONCERN_MOT_1744,"Procrastination",failure,CONCERN_MOT_1744,35,true
"i keep struggling with procrastination",CONCERN_MOT_1744,"Procrastination",failure,CONCERN_MOT_1744,29,true
"i cannot manage procrastination",CONCERN_MOT_1744,"Procrastination",failure,CONCERN_MOT_1744,29,true
"i need help with procrastination",CONCERN_MOT_1744,"Procrastination",failure,CONCERN_MOT_1744,29,true
"i keep struggling with general knowledge",CONCERN_MOT_1796,"General Knowledge",failure,CONCERN_MOT_1796,47,false
"i cannot manage general knowledge",CONCERN_MOT_1796,"General Knowledge",failure,CONCERN_MOT_1796,47,false
"i need help with general knowledge",CONCERN_MOT_1796,"General Knowledge",failure,CONCERN_MOT_1796,47,false
"i keep struggling with hyper-competitive mindset",CONCERN_MOT_1828,"Hyper-Competitive Mindset",failure,CONCERN_MOT_1828,45,false
"i cannot manage hyper-competitive mindset",CONCERN_MOT_1828,"Hyper-Competitive Mindset",failure,CONCERN_MOT_1828,45,false
"i need help with hyper-competitive mindset",CONCERN_MOT_1828,"Hyper-Competitive Mindset",failure,CONCERN_MOT_1828,45,false
"i struggle with fear of missing opportunities",CONCERN_MOT_1855,"Fear of Missing Opportunities",failure,CONCERN_MOT_1855,29,false
"i have trouble with fear of missing opportunities",CONCERN_MOT_1855,"Fear of Missing Opportunities",failure,CONCERN_MOT_1855,29,false
"i keep struggling with fear of missing opportunities",CONCERN_MOT_1855,"Fear of Missing Opportunities",failure,CONCERN_MOT_1855,26,false
"i need help with fear of missing opportunities",CONCERN_MOT_1855,"Fear of Missing Opportunities",failure,CONCERN_MOT_1855,26,false
"i keep struggling with moral judgment",CONCERN_MOT_1857,"Moral Judgment",failure,CONCERN_MOT_1857,43,false
"i cannot manage moral judgment",CONCERN_MOT_1857,"Moral Judgment",failure,CONCERN_MOT_1857,47,false
"i need help with moral judgment",CONCERN_MOT_1857,"Moral Judgment",failure,CONCERN_MOT_1857,41,false
"i have trouble with emotional boundaries online",CONCERN_MOT_1874,"Emotional Boundaries Online",failure,CONCERN_MOT_1874,27,false
"i cannot manage emotional boundaries online",CONCERN_MOT_1874,"Emotional Boundaries Online",failure,CONCERN_MOT_1874,23,false
"i keep struggling with curiosity & exploration",CONCERN_MOT_1946,"Curiosity & Exploration",failure,CONCERN_MOT_1946,31,false
"i cannot manage curiosity & exploration",CONCERN_MOT_1946,"Curiosity & Exploration",failure,CONCERN_MOT_1946,31,false
"i need help with curiosity & exploration",CONCERN_MOT_1946,"Curiosity & Exploration",failure,CONCERN_MOT_1946,31,false
"i keep struggling with reading comprehension",CONCERN_MOT_1947,"Reading Comprehension",failure,CONCERN_COM_1656,34,false
"i cannot manage reading comprehension",CONCERN_MOT_1947,"Reading Comprehension",failure,CONCERN_COM_1656,34,false
"i need help with reading comprehension",CONCERN_MOT_1947,"Reading Comprehension",failure,CONCERN_COM_1656,34,false
"i keep struggling with academic persistence",CONCERN_MOT_1963,"Academic Persistence",failure,CONCERN_MOT_1963,28,false
"i cannot manage academic persistence",CONCERN_MOT_1963,"Academic Persistence",failure,CONCERN_MOT_1963,28,false
"i need help with academic persistence",CONCERN_MOT_1963,"Academic Persistence",failure,CONCERN_MOT_1963,28,false
"i have trouble with setting academic priorities",CONCERN_MOT_1993,"Setting Academic Priorities",failure,CONCERN_MOT_1993,28,false
"i keep struggling with setting academic priorities",CONCERN_MOT_1993,"Setting Academic Priorities",failure,CONCERN_MOT_1993,25,false
"i cannot manage setting academic priorities",CONCERN_MOT_1993,"Setting Academic Priorities",failure,CONCERN_MOT_1993,25,false
"i need help with setting academic priorities",CONCERN_MOT_1993,"Setting Academic Priorities",failure,CONCERN_MOT_1993,25,false
"i keep struggling with open-ended questions",CONCERN_MOT_2041,"Open-Ended Questions",failure,CONCERN_MOT_2041,41,false
"i cannot manage open-ended questions",CONCERN_MOT_2041,"Open-Ended Questions",failure,CONCERN_MOT_2041,44,false
"i need help with open-ended questions",CONCERN_MOT_2041,"Open-Ended Questions",failure,CONCERN_MOT_2041,39,false
"i keep struggling with academic momentum",CONCERN_MOT_2099,"Academic Momentum",failure,CONCERN_MOT_2099,28,false
"i cannot manage academic momentum",CONCERN_MOT_2099,"Academic Momentum",failure,CONCERN_MOT_2099,28,false
"i keep struggling with match interests with career opportunities",CONCERN_MOT_214,"Match Interests with Career Opportunities",failure,CONCERN_MOT_214,39,false
"i cannot manage match interests with career opportunities",CONCERN_MOT_214,"Match Interests with Career Opportunities",failure,CONCERN_MOT_214,38,false
"i need help with match interests with career opportunities",CONCERN_MOT_214,"Match Interests with Career Opportunities",failure,CONCERN_MOT_214,39,false
"i have trouble with setting academic priorities",CONCERN_MOT_2481,"Setting Academic Priorities",failure,CONCERN_MOT_1993,28,false
"i keep struggling with setting academic priorities",CONCERN_MOT_2481,"Setting Academic Priorities",failure,CONCERN_MOT_1993,25,false
"i cannot manage setting academic priorities",CONCERN_MOT_2481,"Setting Academic Priorities",failure,CONCERN_MOT_1993,25,false
"i need help with setting academic priorities",CONCERN_MOT_2481,"Setting Academic Priorities",failure,CONCERN_MOT_1993,25,false
"i keep struggling with classroom participation",CONCERN_PAR_1363,"classroom participation",failure,CONCERN_COM_1955,32,false
"i cannot manage classroom participation",CONCERN_PAR_1363,"classroom participation",failure,CONCERN_COM_1955,32,false
"i need help with classroom participation",CONCERN_PAR_1363,"classroom participation",failure,CONCERN_COM_1955,32,false
"i keep struggling with self-discipline and accountability",CONCERN_PUR_1522,"self-discipline and accountability",failure,CONCERN_PUR_1522,43,false
"i need help with self-discipline and accountability",CONCERN_PUR_1522,"self-discipline and accountability",failure,CONCERN_PUR_1522,43,false
"i keep struggling with uncertainty about balancing work-life priorities",CONCERN_PUR_1585,"Uncertainty about balancing work-life priorities",failure,CONCERN_PUR_1585,38,false
"i cannot manage uncertainty about balancing work-life priorities",CONCERN_PUR_1585,"Uncertainty about balancing work-life priorities",failure,CONCERN_PUR_1585,38,false
"i need help with uncertainty about balancing work-life priorities",CONCERN_PUR_1585,"Uncertainty about balancing work-life priorities",failure,CONCERN_PUR_1585,38,false
"i keep struggling with academic focus",CONCERN_PUR_1647,"Academic Focus",failure,CONCERN_ACA_1931,29,false
"i keep struggling with curiosity about self-development",CONCERN_REC_1550,"curiosity about self-development",failure,CONCERN_REC_1550,40,false
"i cannot manage curiosity about self-development",CONCERN_REC_1550,"curiosity about self-development",failure,CONCERN_REC_1550,44,false
"i need help with curiosity about self-development",CONCERN_REC_1550,"curiosity about self-development",failure,CONCERN_REC_1550,44,false
"i struggle with distractions",CONCERN_SEL_1416,"distractions",failure,CONCERN_CAR_256,37,true
"i have trouble with distractions",CONCERN_SEL_1416,"distractions",failure,CONCERN_SEL_1416,32,true
"i keep struggling with distractions",CONCERN_SEL_1416,"distractions",failure,CONCERN_SEL_1416,26,true
"i need help with distractions",CONCERN_SEL_1416,"distractions",failure,CONCERN_CON_1777,28,true
"i keep struggling with underestimating capabilities due to comparison",CONCERN_SEL_1540,"Underestimating capabilities due to comparison",failure,CONCERN_SEL_1540,36,false
"i cannot manage underestimating capabilities due to comparison",CONCERN_SEL_1540,"Underestimating capabilities due to comparison",failure,CONCERN_SEL_1540,34,false
"i need help with underestimating capabilities due to comparison",CONCERN_SEL_1540,"Underestimating capabilities due to comparison",failure,CONCERN_SEL_1540,36,false
"i keep struggling with consistency in attendance",CONCERN_SEL_1984,"Consistency in Attendance",failure,CONCERN_SEL_1984,31,false
"i cannot manage consistency in attendance",CONCERN_SEL_1984,"Consistency in Attendance",failure,CONCERN_SEL_1984,31,false
"i need help with consistency in attendance",CONCERN_SEL_1984,"Consistency in Attendance",failure,CONCERN_SEL_1984,31,false
"i keep struggling with revision consistency",CONCERN_SEL_2019,"Revision Consistency",failure,CONCERN_DIS_2406,29,false
"i keep struggling with awareness of emerging career opportunities",CONCERN_SEL_204,"Awareness of Emerging Career Opportunities",failure,CONCERN_CON_516,31,false
"i cannot manage awareness of emerging career opportunities",CONCERN_SEL_204,"Awareness of Emerging Career Opportunities",failure,CONCERN_CON_516,31,false
"i need help with awareness of emerging career opportunities",CONCERN_SEL_204,"Awareness of Emerging Career Opportunities",failure,CONCERN_CON_516,31,false
"i keep struggling with study rhythm",CONCERN_SEL_2043,"Study Rhythm",failure,CONCERN_SEL_2043,41,false
"i cannot manage study rhythm",CONCERN_SEL_2043,"Study Rhythm",failure,CONCERN_SEL_2043,38,false
"i need help with study rhythm",CONCERN_SEL_2043,"Study Rhythm",failure,CONCERN_SEL_2043,38,false
"i keep struggling with consistency in attendance",CONCERN_SEL_2472,"Consistency in Attendance",failure,CONCERN_SEL_1984,31,false
"i cannot manage consistency in attendance",CONCERN_SEL_2472,"Consistency in Attendance",failure,CONCERN_SEL_1984,31,false
"i need help with consistency in attendance",CONCERN_SEL_2472,"Consistency in Attendance",failure,CONCERN_SEL_1984,31,false
"i keep struggling with leadership initiative",CONCERN_SOC_1670,"Leadership Initiative",failure,CONCERN_SOC_1670,31,false
"i cannot manage leadership initiative",CONCERN_SOC_1670,"Leadership Initiative",failure,CONCERN_SOC_1670,31,false
"i struggle with loneliness",CONCERN_SOC_1757,"Loneliness",failure,CONCERN_CAR_256,37,true
"i have trouble with loneliness",CONCERN_SOC_1757,"Loneliness",failure,CONCERN_SOC_1757,37,true
"i keep struggling with loneliness",CONCERN_SOC_1757,"Loneliness",failure,CONCERN_SOC_1757,30,true
"i cannot manage loneliness",CONCERN_SOC_1757,"Loneliness",failure,CONCERN_SOC_1757,30,true
"i need help with loneliness",CONCERN_SOC_1757,"Loneliness",failure,CONCERN_SOC_1757,30,true
"i keep struggling with friendship toxicity",CONCERN_SOC_1770,"Friendship Toxicity",failure,CONCERN_SOC_1770,51,false
"i cannot manage friendship toxicity",CONCERN_SOC_1770,"Friendship Toxicity",failure,CONCERN_SOC_1770,51,false
"i need help with friendship toxicity",CONCERN_SOC_1770,"Friendship Toxicity",failure,CONCERN_SOC_1770,51,false
"i keep struggling with cyberbullying exposure",CONCERN_SOC_1771,"Cyberbullying Exposure",failure,CONCERN_SOC_1771,50,false
"i cannot manage cyberbullying exposure",CONCERN_SOC_1771,"Cyberbullying Exposure",failure,CONCERN_SOC_1771,50,false
"i need help with cyberbullying exposure",CONCERN_SOC_1771,"Cyberbullying Exposure",failure,CONCERN_SOC_1771,48,false
"i keep struggling with fear of rejection",CONCERN_SOC_1804,"Fear of Rejection",failure,CONCERN_SOC_1804,38,false
"i cannot manage fear of rejection",CONCERN_SOC_1804,"Fear of Rejection",failure,CONCERN_SOC_1804,30,false
"i need help with fear of rejection",CONCERN_SOC_1804,"Fear of Rejection",failure,CONCERN_SOC_1804,30,false
"i keep struggling with accept criticism",CONCERN_SOC_1806,"Accept Criticism",failure,CONCERN_SOC_1806,39,false
"i cannot manage accept criticism",CONCERN_SOC_1806,"Accept Criticism",failure,CONCERN_SOC_1806,37,false
"i need help with accept criticism",CONCERN_SOC_1806,"Accept Criticism",failure,CONCERN_SOC_1806,45,false
"i struggle with emotional blackmail tendencies",CONCERN_SOC_1808,"Emotional Blackmail Tendencies",failure,CONCERN_SOC_1808,34,false
"i have trouble with emotional blackmail tendencies",CONCERN_SOC_1808,"Emotional Blackmail Tendencies",failure,CONCERN_SOC_1808,53,false
"i keep struggling with emotional blackmail tendencies",CONCERN_SOC_1808,"Emotional Blackmail Tendencies",failure,CONCERN_SOC_1808,38,false
"i cannot manage emotional blackmail tendencies",CONCERN_SOC_1808,"Emotional Blackmail Tendencies",failure,CONCERN_SOC_1808,36,false
"i need help with emotional blackmail tendencies",CONCERN_SOC_1808,"Emotional Blackmail Tendencies",failure,CONCERN_SOC_1808,33,false
"i keep struggling with healthy friendships",CONCERN_SOC_1880,"Healthy Friendships",failure,CONCERN_SOC_1880,48,false
"i cannot manage healthy friendships",CONCERN_SOC_1880,"Healthy Friendships",failure,CONCERN_SOC_1880,48,false
"i need help with healthy friendships",CONCERN_SOC_1880,"Healthy Friendships",failure,CONCERN_SOC_1880,48,false
"i cannot manage classroom discussions",CONCERN_SOC_2086,"Classroom Discussions",failure,CONCERN_SOC_2086,40,false
"i need help with classroom discussions",CONCERN_SOC_2086,"Classroom Discussions",failure,CONCERN_SOC_2086,38,false
"i keep struggling with inclusion sensitivity in group activities",CONCERN_SOC_2374,"Inclusion Sensitivity in Group Activities",failure,CONCERN_SOC_2374,47,false
"i cannot manage inclusion sensitivity in group activities",CONCERN_SOC_2374,"Inclusion Sensitivity in Group Activities",failure,CONCERN_SOC_2374,46,false
"i need help with inclusion sensitivity in group activities",CONCERN_SOC_2374,"Inclusion Sensitivity in Group Activities",failure,CONCERN_SOC_2374,50,false
"i keep struggling with emotional boundaries among students",CONCERN_SOC_2382,"Emotional Boundaries Among Students",failure,CONCERN_SOC_2382,27,false
"i need help with emotional boundaries among students",CONCERN_SOC_2382,"Emotional Boundaries Among Students",failure,CONCERN_SOC_2382,27,false
"i keep struggling with perspective-taking during team activities",CONCERN_SOC_2385,"Perspective-Taking During Team Activities",failure,CONCERN_SOC_2385,41,false
"i cannot manage perspective-taking during team activities",CONCERN_SOC_2385,"Perspective-Taking During Team Activities",failure,CONCERN_SOC_2385,35,false
"i need help with perspective-taking during team activities",CONCERN_SOC_2385,"Perspective-Taking During Team Activities",failure,CONCERN_SOC_2385,42,false
"i cannot manage adapt communication across hierarchies",CONCERN_SOC_440,"Adapt Communication Across Hierarchies",failure,CONCERN_SOC_440,29,false
"i cannot manage learning agility",CONCERN_STE_1724,"Learning Agility",failure,CONCERN_STE_1724,31,false
"i need help with learning agility",CONCERN_STE_1724,"Learning Agility",failure,CONCERN_STE_1724,31,false
"i keep struggling with unexpected questions",CONCERN_STE_2025,"Unexpected Questions",failure,CONCERN_STE_2025,33,false
"i cannot manage unexpected questions",CONCERN_STE_2025,"Unexpected Questions",failure,CONCERN_STE_2025,33,false
"i keep struggling with scientific temperament",CONCERN_STE_2107,"Scientific Temperament",failure,CONCERN_STE_2107,49,false
"i cannot manage scientific temperament",CONCERN_STE_2107,"Scientific Temperament",failure,CONCERN_STE_2107,49,false
"i need help with scientific temperament",CONCERN_STE_2107,"Scientific Temperament",failure,CONCERN_STE_2107,49,false
"i keep struggling with executive communication",CONCERN_STR_766,"Executive Communication",failure,CONCERN_EMO_1066,32,false
"i cannot manage executive communication",CONCERN_STR_766,"Executive Communication",failure,CONCERN_EMO_1066,32,false
"i need help with executive communication",CONCERN_STR_766,"Executive Communication",failure,CONCERN_EMO_1066,32,false
"i struggle with interest in studies",CONCERN_STU_1353,"interest in studies",failure,CONCERN_CAR_256,31,true
"i have trouble with interest in studies",CONCERN_STU_1353,"interest in studies",failure,CONCERN_STU_1353,25,true
"i keep struggling with interest in studies",CONCERN_STU_1353,"interest in studies",failure,CONCERN_STU_1353,22,false
"i cannot manage interest in studies",CONCERN_STU_1353,"interest in studies",failure,CONCERN_STU_1353,27,false
"i cannot manage problem-solving ability",CONCERN_STU_1369,"problem-solving ability",failure,CONCERN_FOU_1933,28,false
"i keep struggling with curiosity-driven learning",CONCERN_STU_1374,"curiosity-driven learning",failure,CONCERN_STU_1374,30,false
"i cannot manage curiosity-driven learning",CONCERN_STU_1374,"curiosity-driven learning",failure,CONCERN_STU_1374,30,false
"i need help with curiosity-driven learning",CONCERN_STU_1374,"curiosity-driven learning",failure,CONCERN_STU_1374,30,false
"i keep struggling with analytical thinking",CONCERN_THI_1934,"Analytical Thinking",failure,CONCERN_ACA_1651,32,false
"i cannot manage analytical thinking",CONCERN_THI_1934,"Analytical Thinking",failure,CONCERN_ACA_1651,32,false
"i cannot manage learning agility",CONCERN_THI_1935,"Learning Agility",failure,CONCERN_STE_1724,31,false
"i need help with learning agility",CONCERN_THI_1935,"Learning Agility",failure,CONCERN_STE_1724,31,false
"i keep struggling with academic self-monitoring",CONCERN_THI_1983,"Academic Self-Monitoring",failure,CONCERN_THI_1983,30,false
"i cannot manage academic self-monitoring",CONCERN_THI_1983,"Academic Self-Monitoring",failure,CONCERN_THI_1983,30,false
"i need help with academic self-monitoring",CONCERN_THI_1983,"Academic Self-Monitoring",failure,CONCERN_THI_1983,30,false
"i cannot manage group discussions",CONCERN_THI_2026,"Group Discussions",failure,CONCERN_EMO_366,31,false
"i need help with group discussions",CONCERN_THI_2026,"Group Discussions",failure,CONCERN_EMO_366,31,false
"i keep struggling with academic self-monitoring",CONCERN_THI_2471,"Academic Self-Monitoring",failure,CONCERN_THI_1983,30,false
"i cannot manage academic self-monitoring",CONCERN_THI_2471,"Academic Self-Monitoring",failure,CONCERN_THI_1983,30,false
"i need help with academic self-monitoring",CONCERN_THI_2471,"Academic Self-Monitoring",failure,CONCERN_THI_1983,30,false
"i keep struggling with high-stakes presentations",CONCERN_WOR_562,"High-Stakes Presentations",failure,CONCERN_WOR_562,45,false
"i cannot manage high-stakes presentations",CONCERN_WOR_562,"High-Stakes Presentations",failure,CONCERN_WOR_562,45,false
"i need help with high-stakes presentations",CONCERN_WOR_562,"High-Stakes Presentations",failure,CONCERN_WOR_562,45,false
"i keep struggling with cross-functional collaboration",CONCERN_WOR_582,"Cross-Functional Collaboration",failure,CONCERN_EMO_1074,34,false
"i cannot manage cross-functional collaboration",CONCERN_WOR_582,"Cross-Functional Collaboration",failure,CONCERN_EMO_1074,34,false
"i need help with cross-functional collaboration",CONCERN_WOR_582,"Cross-Functional Collaboration",failure,CONCERN_EMO_1074,34,false
"i struggle with professional boundaries with colleagues",CONCERN_WOR_703,"Professional Boundaries with Colleagues",failure,CONCERN_WOR_703,40,false
"i have trouble with professional boundaries with colleagues",CONCERN_WOR_703,"Professional Boundaries with Colleagues",failure,CONCERN_WOR_703,40,false
"i keep struggling with professional boundaries with colleagues",CONCERN_WOR_703,"Professional Boundaries with Colleagues",failure,CONCERN_WOR_703,36,false
"i cannot manage professional boundaries with colleagues",CONCERN_WOR_703,"Professional Boundaries with Colleagues",failure,CONCERN_WOR_703,34,false
"i need help with professional boundaries with colleagues",CONCERN_WOR_703,"Professional Boundaries with Colleagues",failure,CONCERN_WOR_703,34,false
"i keep struggling with balancing existing responsibilities with career reinvention",CONCERN_WOR_985,"Balancing Existing Responsibilities with Career Reinvention",failure,CONCERN_WOR_985,38,false
"i cannot manage balancing existing responsibilities with career reinvention",CONCERN_WOR_985,"Balancing Existing Responsibilities with Career Reinvention",failure,CONCERN_WOR_985,34,false
"i need help with balancing existing responsibilities with career reinvention",CONCERN_WOR_985,"Balancing Existing Responsibilities with Career Reinvention",failure,CONCERN_WOR_985,36,false
